40.424600,-86.908100,device1,true
40.424600,-86.908100,device2,true
40.424600,-86.908100,device3,true
40.424600,-86.908100,device4,true
40.424600,-86.908100,device5,true
40.466596,-86.925402,device6,false
40.467751,-86.939109,device7,false
40.492499,-86.877452,device8,false
40.422416,-86.945636,device9,false
40.416568,-86.820690,device10,false
40.373120,-86.872477,device11,false
40.382146,-86.925399,device12,false
40.454236,-86.922744,device13,false
40.383373,-86.877319,device14,false
40.474625,-86.915124,device15,false
40.416605,-86.876754,device16,false
40.407773,-86.977763,device17,false
40.407307,-86.947259,device18,false
40.381011,-86.922467,device19,false
40.406877,-86.976951,device20,false
40.406391,-86.949446,device21,false
40.441641,-86.861942,device22,false
40.464082,-86.854233,device23,false
40.461922,-86.908383,device24,false
40.455889,-86.832072,device25,false
40.494931,-86.888906,device26,false
40.367198,-86.938614,device27,false
40.455915,-86.945832,device28,false
40.397669,-86.971667,device29,false
40.433297,-86.879014,device30,false
