40.424600,-86.908100,21.48
40.424600,-86.908100,21.17
40.424600,-86.908100,20.49
40.424600,-86.908100,21.33
40.424600,-86.908100,20.17
40.376121,-86.926478,21.25
40.397266,-86.955805,21.32
40.367466,-86.929336,21.46
40.413313,-86.988702,21.78
40.372864,-86.917770,21.96
40.467296,-86.910320,21.54
40.430088,-86.871945,21.16
40.468263,-86.863147,21.86
40.453232,-86.877105,21.16
40.438675,-86.900293,20.03
40.372619,-86.861431,20.24
40.390757,-86.893151,21.73
40.392541,-86.860823,20.97
40.429693,-86.986760,21.69
40.394453,-86.949170,20.42
40.433160,-86.989004,21.10
40.466134,-86.932589,21.26
40.483629,-86.921512,20.06
40.446261,-86.833469,21.23
40.455581,-86.859608,20.72
40.421242,-86.920667,20.10
40.459247,-86.877661,20.98
40.377998,-86.917955,20.39
40.387611,-86.917478,20.25
40.445281,-86.940464,20.41
