40.424600,-86.908100,4.03
40.424600,-86.908100,4.32
40.424600,-86.908100,3.30
40.424600,-86.908100,7.45
40.424600,-86.908100,4.97
40.376121,-86.926478,6.77
40.397266,-86.955805,7.87
40.367466,-86.929336,6.49
40.413313,-86.988702,6.75
40.372864,-86.917770,6.12
40.467296,-86.910320,3.87
40.430088,-86.871945,6.43
40.468263,-86.863147,8.97
40.453232,-86.877105,9.12
40.438675,-86.900293,4.89
40.372619,-86.861431,4.46
40.390757,-86.893151,6.95
40.392541,-86.860823,7.48
40.429693,-86.986760,5.92
40.394453,-86.949170,4.44
40.433160,-86.989004,9.64
40.466134,-86.932589,3.57
40.483629,-86.921512,3.74
40.446261,-86.833469,3.99
40.455581,-86.859608,4.17
40.421242,-86.920667,7.35
40.459247,-86.877661,7.02
40.377998,-86.917955,3.36
40.387611,-86.917478,9.52
40.445281,-86.940464,8.10
