40.383546,-86.923664,43.95
40.407723,-86.937555,44.75
40.371220,-86.927941,41.64
40.417888,-86.956033,43.36
40.409474,-86.910927,42.19
40.487512,-86.911371,44.17
40.431582,-86.862103,43.84
40.462535,-86.869044,40.84
40.470978,-86.857895,44.31
40.464611,-86.885906,44.95
40.373263,-86.862010,42.57
40.381448,-86.889039,44.42
40.384754,-86.849340,42.94
40.429753,-86.987684,40.77
40.391148,-86.953672,41.00
40.425996,-86.921292,42.03
40.462627,-86.930521,43.74
40.471112,-86.918668,44.13
40.438021,-86.861860,43.95
40.445279,-86.875733,41.59
40.402842,-86.989517,42.67
40.464094,-86.873402,40.45
40.357191,-86.922355,40.56
40.380099,-86.919382,40.68
40.465458,-86.972040,43.39
40.379161,-86.902402,42.48
40.373505,-86.854987,40.95
40.394763,-86.980939,42.48
40.422156,-86.966489,40.74
40.391187,-86.913659,40.27
